serie,episode,content,name,time,likes_count,answer_count,sentiment,keywords,categories
ayletna,2,❤❤❤❤❤,@SurmaryUsturiz,7 days ago, ,0,positive,love,Praise for the Series
ayletna,2,غمالة لا تمثيل لا مستوى بهدلتوا برواحكم كبار وجايحين,@رمضان1-ه5ص,1 month ago, ,0,negative,acting - level,Criticism of the Ending
ayletna,2,سليم الزين❤,@hamzazal3740,1 month ago, ,0,positive,Slim - Zein,Appreciation for Characters
ayletna,2,شكون يتفرج علجال رانيا يدير لايك نحسبكم,@MajdRami-c2r,1 month ago,1,0,neutral,watch - Rania,Demand for More Content
ayletna,2,Incroyable 😂,@ll-oneshot-ll,1 month ago, ,0,positive,incredible,Praise for the Series
ayletna,2,❤❤❤❤❤❤❤❤❤   Bravo a toute l'équipe الله يبارك,@NordineBenhamida-l9u,1 month ago,1,1,positive,Bravo - team,Praise for the Series
ayletna,2,الله يحفظش اخاي ويطولي في عمرش ههههه عرفتني ولا مازال ؟,@badismaissame3189,1 month ago, ,0,positive,brother - life,Appreciation for Characters
ayletna,2,هايلة برافو سليم ،حمحوم،كمال زرارة ،فتيحة سلطان,@badismaissame3189,1 month ago, ,0,positive,Slim - Hamhoum - Kamal - Zerara - Fatiha - Sultan,Appreciation for Characters
ayletna,2,"Ça fait plaisir de voir une comédie aussi bien travaillée un épisode à la hauteur, bravo à toute l’équipe…
Franchement rien à dire !",@MehdiKrache-n4m,1 month ago,2,2,positive,comedy - episode - team,Praise for the Series
ayletna,2,Merci beaucoup mehdi,@globalbroadcastconstantine-t4v,1 month ago, ,0,positive,thanks - Mehdi,Appreciation for Characters
ayletna,2,منك بصح 😂😂😂 اسوأ ممثلين غمالة,@رمضان1-ه5ص,1 month ago, ,0,negative,worst - actors,Criticism of the Ending
ayletna,2,نحيتو الإنمي في رمضان 😢😢,@louaimouza2123,1 month ago, ,0,negative,anime - Ramadan,Criticism of the Ending
ayletna,2,Wlh bdmou3 😂😂😂😂😂,@yassaminetabet9582,1 month ago, ,0,positive,tears,Emotional Response
ayletna,2,😂😂😂😂 واعرة,@dursaffff3743,1 month ago,1,1,positive,funny,Praise for the Series
ayletna,2,😂😂😂😂😂😂😂😂,@AB-uu9gg,1 month ago, ,0,positive,laughter,Emotional Response
ayletna,2,😂😂😂😂 واعرة,@dursaffff3743,1 month ago, ,0,positive,funny,Praise for the Series
ayletna,2,العين التي وقعت على تعليقي ، اسال الله تعالى أن يرزقك خيري الدارين ويفتحها عليك وين ماتمشي ويرحم والديك دنيا وآخرة ❤️😊,@lafleurblanche-sm5uw,1 month ago,2,0,positive,blessings - parents,Appreciation for Characters
ayletna,2,😂😂😂😂 الحلقة تاع اليوم وحدها ههههه,@Seifeddinedk,1 month ago,1,0,positive,episode,Praise for the Series
ayletna,2,❤❤❤❤❤❤,@HousineHousine-f7t,1 month ago, ,0,positive,love,Praise for the Series
ayletna,2,❤❤❤❤❤❤,@HousineHousine-f7t,1 month ago, ,0,positive,love,Praise for the Series
ayletna,2,❤❤❤❤❤❤,@HousineHousine-f7t,1 month ago, ,0,positive,love,Praise for the Series
ayletna,2,الله يبارك يعطيك الصحة حمحوم ❤.. بالتوفيق,@HousineHousine-f7t,1 month ago, ,0,positive,Hamhoum - success,Appreciation for Characters
ayletna,2,❤❤❤,@HichamDz-ri8bn,1 month ago, ,0,positive,love,Praise for the Series
ayletna,2,❤❤,@MouhamedHmd-pj5th,1 month ago, ,0,positive,love,Praise for the Series
safia,4,راجل كيما عبد القادر والا خلي,@بورجو-و6ص,15 hours ago, ,0,neutral,man - Abdelkader,Character Analysis
safia,4,تكلخلك مرأة نتي بهلول لمرا كي جيبوللها فام دوا ميناج تسغل لفرسة وتريح ما طيب ما تسيق ما تغسل ما تطوي قش مادير ديسار طياب بلاك بصح تسياق والغسيل ماكلاه انا لوكان راجلي يجيبلي لافام دو ميناج نڨلو متروحش ونبقى مريض ڨع حياتي منضاعهاش نبقى هازا تليفون ونه معا خواتاتي ونتكسى كل عيد وحتى ونكون لباس عليا منخدمش منسيقش كليوم ندى لبارتار نحتفل ونحمد ربي كل دقيق باااااااي🎉🎉🎉🎉,@BnmhamdMonir,2 days ago, ,0,negative,housework - husband - phone,Emotional Response
safia,4,يا عمري شحال هايلة ضيفة الحلقة سالي بالناصر نحبها نموت عليها ❤,@MalakAmira-y9p,8 days ago,1,0,positive,Sally - Naser,Appreciation for Characters
safia,4,صفية نية بصح كي تحس بالخبث حولها تتحول على جدهم كامل هههه🥰,@marammaram-v1e,2 weeks ago (edited), ,0,positive,Safiya - character development,Character Analysis
safia,4,يو صفية راهي تتفرج في نور ومهند ،😂😂😂,@AmelAmel-z3m,2 weeks ago, ,0,humorous,Safiya - Nour - Mohand,Emotional Response
safia,4,😂😂😂😂,@fatimaredjaima1804,2 weeks ago, ,0,neutral,,
safia,4,قمة الاحترام العفوية انسانية رحمة نية طاعة للزوج تحياتي روعة ضحكتونا و فرحتونا ان شاءالله 30 حلقة,@saidinacerus9685,2 weeks ago,2,0,positive,respect - spontaneity - humanity,Praise for the Series
safia,4,جات باش اتعونها ربيعة عونتها😂😂😂😂,@younsimourad4944,2 weeks ago, ,0,humorous,Rabiaa - help,Emotional Response
safia,4,Waw j'adore ce feuilleton,@abdelkadermajid8983,3 weeks ago, ,0,positive,TV series,Praise for the Series
safia,4,اللهم ارزقنا زوج مثل عبد القادر,@MinamiralMinamiral,3 weeks ago,1,0,positive,husband - Abdelkader,Character Analysis
safia,4,واحد سي عبدالقادر بصح شوية طويل برك,@wafaaben1742,3 weeks ago,1,1,neutral,Abdelkader - height,Character Analysis
safia,4,😅😅 وحدة كيما صفية برك,@IbrahimBenelkedi,8 days ago, ,0,humorous,Safiya,Character Analysis
safia,4,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤❤😂😂❤❤❤❤❤❤❤❤❤❤❤❤,@Rsfk1903,3 weeks ago, ,0,humorous,,Emotional Response
safia,4,Q qa 😊😊aq bvnv.xnv,@aichaiman674,3 weeks ago, ,0,neutral,,
safia,4,وكتاه يجي,@anasanas-by1su,3 weeks ago, ,0,neutral,wait,Demand for More Content
safia,4,صفية انت كارثة انت قنبلة الموسم 😂😂😂😂😂😂😂😂❤,@aymanebba2383,3 weeks ago,1,0,humorous,Safiya - bomb,Emotional Response
safia,4,وقيل الي اسمهم صفية كامل هكذا جايحات وانا وحدة فيهم,@AnaAna-q6o2b,3 weeks ago, ,0,neutral,Safiya - name,Character Analysis
safia,4,كفاه دير فتور ولوخرا فاترة😂😂,@YakoubBenhdjaz,3 weeks ago, ,0,humorous,breakfast,Emotional Response
safia,4,هربنا من تلفيزيو وإشهرات لقيناهم في يوتيوب,@ليليان-ريِيورا,3 weeks ago, ,0,negative,advertisements - YouTube,Criticism of the Ending
safia,4,تمثيل رائع صفية❤❤❤,@GhfranBoferrouk,3 weeks ago, ,0,positive,Safiya - acting,Appreciation for Characters
safia,4,بسباب هاد العباد ماشي مليح الواحد يكون مليح,@NoraMelouah,3 weeks ago, ,0,negative,people - kindness,Criticism of the Ending
safia,4,J'adore ❤❤❤❤❤❤❤❤,@Lila_leila,3 weeks ago, ,0,positive,love,Praise for the Series
safia,4,راجل كما عبد القادرمنزيدش,@SaraNorhan,3 weeks ago, ,0,positive,man - Abdelkader,Character Analysis
safia,4,اللهم زوج كيما عبد القادر 😂,@abdouabdou6826,4 weeks ago, ,0,positive,husband - Abdelkader,Character Analysis
safia,4,"جات تخدم ❌
جات تشتكي همها لصفية ✔️✔️
هههه😂",@TasnimSanouma-zz5rg,4 weeks ago,2,0,humorous,complain - Safiya,Emotional Response
safia,4,"جات تخدم ❌
جات تشتكي همها لصفية ✔️✔️
هههه😂",@TasnimSanouma-zz5rg,4 weeks ago,3,0,humorous,complain - Safiya,Emotional Response
